咪咕央卫,#genre#
斯诺克 32进16 2号桌 02:00,http://45.192.97.170:8880/play/207.m3u8
斯诺克 32进16 3号桌 02:00,http://45.192.97.170:8880/play/208.m3u8
斯诺克 32进16 4号桌 02:00,http://45.192.97.170:8880/play/209.m3u8
咪咕体育日报 undefined 咪咕体育日报 第169期 08:00,http://45.192.97.170:8880/play/210.m3u8
中国自行车运动协会系列赛 环上海新城自行车赛 解说 09:15,http://45.192.97.170:8880/play/211.m3u8
中国围棋甲级联赛 围甲联赛第13轮 解说 14:00,http://45.192.97.170:8880/play/212.m3u8
WTT 男女单打1/16决赛、双打1/8决赛 凌维康 刘馨蕊 14:00,http://45.192.97.170:8880/play/213.m3u8
WTT 男女单打1/16决赛、双打1/8决赛 1号桌 14:00,http://45.192.97.170:8880/play/214.m3u8
WTT 男女单打1/16决赛、双打1/8决赛 2号桌 14:00,http://45.192.97.170:8880/play/215.m3u8
WTT 男女单打1/16决赛、双打1/8决赛 3号桌 14:00,http://45.192.97.170:8880/play/216.m3u8
WTT 男女单打1/16决赛、双打1/8决赛 4号桌 14:00,http://45.192.97.170:8880/play/217.m3u8
中国篮协“未来杯”国际篮球挑战赛 CIA Bella Vista预科学院VSVERITAS Academy预科学院 赛场原声 16:20,http://45.192.97.170:8880/play/218.m3u8
中国篮协“未来杯”国际篮球挑战赛 CIA Bella Vista预科学院VSVERITAS Academy预科学院 清流播出 16:20,http://45.192.97.170:8880/play/219.m3u8
NBA经典赛事 NBA精彩重播：湖人vs太阳 连睿 曾令旭 苏群 18:00,http://45.192.97.170:8880/play/220.m3u8
晋超联赛 太原市VS阳泉市 赛场原声 19:20,http://45.192.97.170:8880/play/221.m3u8
中国篮协“未来杯”国际篮球挑战赛 中国U18男篮VS清华附中 赛场原声 19:20,http://45.192.97.170:8880/play/222.m3u8
中国篮协“未来杯”国际篮球挑战赛 中国U18男篮VS清华附中 清流播出 19:20,http://45.192.97.170:8880/play/223.m3u8
WTT 男女单打1/16决赛、男女双打1/8决赛 赵曦 20:00,http://45.192.97.170:8880/play/224.m3u8
