央视频道,#genre#
千禧经典台,http://45.192.97.170:8880/play/997.m3u8
ASTRO AOD,http://45.192.97.170:8880/play/998.m3u8
ASTRO AEC,http://45.192.97.170:8880/play/999.m3u8
ASTRO 欢喜台,http://45.192.97.170:8880/play/1000.m3u8
IQIYI,http://45.192.97.170:8880/play/1001.m3u8
八度空间,http://45.192.97.170:8880/play/1002.m3u8
CHANNEL 5,http://45.192.97.170:8880/play/1003.m3u8
CHANNEL 8,http://45.192.97.170:8880/play/1004.m3u8
CHANNEL U,http://45.192.97.170:8880/play/1005.m3u8
中天新闻,http://45.192.97.170:8880/play/1006.m3u8
NOW新闻台,http://45.192.97.170:8880/play/1007.m3u8
VIUTV,http://45.192.97.170:8880/play/1008.m3u8
龙华电影,http://45.192.97.170:8880/play/1009.m3u8
龙华戏剧,http://45.192.97.170:8880/play/1010.m3u8
龙华日韩,http://45.192.97.170:8880/play/1011.m3u8
龙华偶像,http://45.192.97.170:8880/play/1012.m3u8
龙华经典,http://45.192.97.170:8880/play/1013.m3u8
邵氏电影,http://45.192.97.170:8880/play/1014.m3u8
邵氏武侠,http://45.192.97.170:8880/play/1015.m3u8
邵氏动作,http://45.192.97.170:8880/play/1016.m3u8
邵氏喜剧,http://45.192.97.170:8880/play/1017.m3u8


港台,#genre#

TVB Plus,https://tvb.go-iptv.ggff.net/stream/tvb/tvbplus/master.m3u8?u=caonima&p=17dff6b2f2f8765d17991c586cbb7ef9827a1dd4982e17b915453c457e4636ab



华丽翡翠台,https://cdn6.163189.xyz/163189/jade
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台,https://o11.163189.xyz/stream/live/jade/
Astro AOD,https://o11.163189.xyz/stream/live/aod/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro QJ,https://o11.163189.xyz/stream/live/qj/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/



爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
翡翠台,https://cdn6.163189.xyz/163189/fct
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台,https://cdn6.163189.xyz/163189/mzt
翡翠台北美版(TVB J1),https://6.cdn.loc.cc/163189.php?id=j1
TVB J1,http://s2.an94tv.cfd/aktv/CH-17/AKTV.m3u8
TVB Plus,https://cdn6.163189.xyz/163189/tvbp
无线新闻,https://cdn6.163189.xyz/163189/wxxw
无线新闻,https://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
VIUTV,https://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
VIUTV,https://cdn.163189.xyz/163189/viu
HOY TV,https://cdn6.163189.xyz/163189/hoy
HOY TV,https://cdn.163189.xyz/163189/hoy
HOY剧集台,https://cdn.163189.xyz/163189/hoyjj
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
重温经典,https://cdn6.163189.xyz/163189/cwjd
广东珠江,https://cdn2.163189.xyz/163189/gdzj
广东体育,https://cdn2.163189.xyz/163189/gdty
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视卫星,https://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
CCTV1港澳版,https://cdn6.163189.xyz/163189/cctv1
八度空间,https://cdn6.163189.xyz/163189/8tv
CH5,https://cdn6.163189.xyz/163189/ch5
CH8,https://cdn6.163189.xyz/163189/ch8
CHU,https://cdn6.163189.xyz/163189/chu
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
